"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
"23","TN",92,"area_code_510","no","yes",25,79.8,99,13.57,313.6,120,26.66,135.5,104,6.1,9.3,8,2.51,2,"no"
"24","DE",42,"area_code_415","no","yes",31,170.8,101,29.04,233.4,104,19.84,174.2,121,7.84,11,3,2.97,2,"no"
"25","OH",69,"area_code_415","no","no",0,229.2,111,38.96,165.3,104,14.05,235.1,80,10.58,5.2,5,1.4,1,"no"
"26","OR",117,"area_code_415","no","yes",38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3,"no"
"27","NE",76,"area_code_415","no","yes",41,212.6,110,36.14,172.7,97,14.68,186.3,78,8.38,10.1,5,2.73,0,"no"
"28","ID",72,"area_code_415","yes","no",0,101,110,17.17,240,70,20.4,333.5,105,15.01,11.1,6,3,0,"no"
"29","WY",115,"area_code_415","yes","yes",6,140.1,125,23.82,157.9,100,13.42,249.4,96,11.22,10.1,3,2.73,1,"no"
"30","MD",68,"area_code_408","no","no",0,150.4,106,25.57,199,131,16.92,109.7,103,4.94,12.3,3,3.32,3,"no"
"31","WY",60,"area_code_510","yes","yes",37,189.9,125,32.28,110.4,107,9.38,210.7,115,9.48,9.1,5,2.46,3,"no"
"32","AZ",97,"area_code_415","no","no",0,100.8,74,17.14,233.8,88,19.87,208.7,79,9.39,12.6,3,3.4,2,"no"
"33","IA",92,"area_code_415","no","no",0,138.1,131,23.48,175.7,128,14.93,192.7,119,8.67,10,3,2.7,3,"no"
"34","VT",178,"area_code_510","no","no",0,179.7,112,30.55,276.6,91,23.51,169.7,101,7.64,10.1,7,2.73,3,"no"
"35","KS",90,"area_code_415","no","yes",30,191.3,104,32.52,257.1,109,21.85,177.7,89,8,11,1,2.97,1,"no"
"36","MS",72,"area_code_510","no","no",0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12,3,3.24,2,"no"
"37","CA",73,"area_code_415","no","no",0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,"yes"
"38","OH",54,"area_code_415","no","no",0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3,0,"no"
"39","NE",161,"area_code_415","no","no",0,166.2,125,28.25,279.4,78,23.75,181,85,8.15,13.4,6,3.62,1,"no"
"40","CA",125,"area_code_510","yes","no",0,158.7,112,26.98,155.7,126,13.23,246,110,11.07,8.3,1,2.24,2,"yes"
"41","OR",194,"area_code_415","no","no",0,258.3,76,43.91,306,88,26.01,241.8,106,10.88,13.6,4,3.67,1,"yes"
"42","MT",69,"area_code_510","no","yes",40,77,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1,"no"
"43","WI",141,"area_code_415","no","yes",33,168.4,127,28.63,185.1,106,15.73,220,78,9.9,11,4,2.97,2,"no"
"44","SD",98,"area_code_415","no","no",0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2,"yes"
"45","OH",110,"area_code_510","no","no",0,175.6,91,29.85,236.5,127,20.1,194.9,114,8.77,9.5,8,2.57,0,"no"
"46","ME",70,"area_code_415","no","no",0,169.1,48,28.75,219.8,62,18.68,193.5,105,8.71,10.7,8,2.89,3,"no"
"47","NM",72,"area_code_415","no","no",0,190.7,111,32.42,241.6,103,20.54,278.1,95,12.51,4.4,3,1.19,1,"no"
"48","WV",66,"area_code_415","no","no",0,239.6,120,40.73,230.3,110,19.58,153,82,6.89,8.6,3,2.32,1,"no"
"49","MN",79,"area_code_510","no","no",0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2,1,"no"
"50","MI",61,"area_code_408","no","no",0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1,"yes"
"51","CO",97,"area_code_510","yes","no",0,230.6,131,39.2,261.3,136,22.21,157.1,96,7.07,6.8,4,1.84,0,"no"
"52","HI",63,"area_code_415","no","no",0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3,0,"no"
"53","VT",77,"area_code_408","no","yes",36,172.2,88,29.27,161.6,112,13.74,259.7,115,11.69,11.8,4,3.19,2,"no"
"54","TX",73,"area_code_408","no","no",0,195.3,97,33.2,96.8,89,8.23,243.1,84,10.94,16.2,13,4.37,1,"no"
"55","VT",105,"area_code_510","no","no",0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3,"no"
"56","OR",159,"area_code_408","no","no",0,180.1,103,30.62,193.4,148,16.44,251.2,109,11.3,13.4,5,3.62,0,"no"
"57","NM",83,"area_code_510","no","no",0,129.6,81,22.03,189.7,117,16.12,219,118,9.86,9.8,4,2.65,2,"no"
"58","SD",93,"area_code_510","no","no",0,215.5,108,36.64,230.9,70,19.63,144.1,134,6.48,13.2,4,3.56,0,"no"
"59","MD",106,"area_code_408","no","yes",22,218.6,83,37.16,244.4,70,20.77,132.4,99,5.96,9.1,6,2.46,1,"no"
"60","UT",98,"area_code_415","no","no",0,211.9,65,36.02,224.6,95,19.09,233,81,10.49,9.9,3,2.67,2,"no"
"61","NJ",163,"area_code_415","no","no",0,82,95,13.94,125.2,103,10.64,171.3,107,7.71,8,4,2.16,1,"no"
"62","MA",169,"area_code_408","no","yes",22,149.1,103,25.35,207.2,91,17.61,265.4,92,11.94,11.4,7,3.08,2,"no"
"63","NV",111,"area_code_415","no","no",0,304.6,56,51.78,157.6,101,13.4,188.2,116,8.47,12.4,1,3.35,1,"yes"
"64","TN",163,"area_code_510","no","no",0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,"no"
"65","ME",57,"area_code_510","no","no",0,155.2,99,26.38,214.1,98,18.2,241,64,10.85,7.5,7,2.03,1,"no"
"66","AL",117,"area_code_415","no","no",0,198.5,75,33.75,179.8,92,15.28,234.1,119,10.53,10.6,6,2.86,0,"no"
"67","LA",85,"area_code_408","no","no",0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,"no"
"68","AL",132,"area_code_415","no","no",0,200,104,34,149.6,101,12.72,137.1,110,6.17,18.9,2,5.1,1,"no"
"69","FL",190,"area_code_415","no","no",0,196.1,95,33.34,228.3,88,19.41,243.6,95,10.96,7.6,3,2.05,3,"no"
"70","FL",39,"area_code_510","no","no",0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1,"no"
"71","SC",84,"area_code_415","no","no",0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0,0,0,1,"no"
"72","ID",71,"area_code_415","no","no",0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,"no"
"73","WY",114,"area_code_415","no","no",0,178.3,86,30.31,176.5,99,15,187.1,83,8.42,13.8,2,3.73,1,"no"
"74","NE",135,"area_code_415","no","no",0,181.8,92,30.91,159.6,63,13.57,232.4,78,10.46,7,6,1.89,0,"no"
"75","CO",93,"area_code_415","no","no",0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2,"no"
"76","VA",82,"area_code_415","no","no",0,172.4,112,29.31,131.7,89,11.19,182.8,78,8.23,8.8,9,2.38,1,"no"
"77","WV",64,"area_code_415","no","no",0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,"yes"
"78","AZ",76,"area_code_408","no","yes",12,98.4,100,16.73,187.5,119,15.94,177,68,7.97,15.1,3,4.08,1,"no"
"79","KS",112,"area_code_415","no","no",0,109,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,"no"
"80","NJ",113,"area_code_408","yes","no",0,122.4,98,20.81,223.8,116,19.02,267.5,148,12.04,11.6,5,3.13,3,"no"
"81","SD",137,"area_code_415","no","no",0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,"yes"
"82","ND",128,"area_code_408","no","no",0,102.5,87,17.43,177.2,97,15.06,226,119,10.17,8.7,5,2.35,1,"no"
"83","SC",84,"area_code_415","no","no",0,274.1,119,46.6,144.1,123,12.25,268.2,100,12.07,9.9,5,2.67,2,"no"
"84","ID",140,"area_code_510","no","no",0,193.1,82,32.83,260.3,107,22.13,241.3,93,10.86,13.3,5,3.59,2,"no"
"85","TX",106,"area_code_415","no","no",0,182.8,96,31.08,193.7,93,16.46,219.5,113,9.88,7.7,2,2.08,2,"no"
"86","SD",166,"area_code_510","no","yes",32,148.4,86,25.23,170.6,119,14.5,201.5,124,9.07,11.3,12,3.05,1,"no"
"87","TN",137,"area_code_408","no","no",0,75.8,107,12.89,256.9,98,21.84,204.4,118,9.2,10.5,3,2.84,2,"no"
"88","TN",161,"area_code_415","no","no",0,198,90,33.66,186.4,102,15.84,219.2,90,9.86,9.3,2,2.51,1,"no"
"89","DE",120,"area_code_415","no","no",0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,"yes"
"90","TN",187,"area_code_510","no","yes",25,199.9,64,33.98,134.6,110,11.44,210.4,78,9.47,11.7,6,3.16,3,"no"
"91","OR",102,"area_code_415","no","yes",25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,"no"
"92","IA",82,"area_code_408","no","no",0,183.6,111,31.21,303.5,88,25.8,189.8,115,8.54,10.3,6,2.78,0,"no"
"93","MI",100,"area_code_510","no","yes",21,86.1,95,14.64,189.9,126,16.14,201.3,113,9.06,11.7,4,3.16,0,"no"
"94","AR",45,"area_code_408","no","no",0,126.8,83,21.56,157.8,100,13.41,158.3,97,7.12,11,4,2.97,3,"no"
"95","TN",114,"area_code_415","no","no",0,108.3,95,18.41,168.3,104,14.31,153.1,109,6.89,9.1,2,2.46,1,"no"
"96","WV",43,"area_code_408","yes","no",0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,"yes"
"97","IL",103,"area_code_408","no","no",0,147.3,81,25.04,158.4,88,13.46,193.8,103,8.72,11,3,2.97,2,"no"
"98","DE",57,"area_code_510","no","no",0,165.1,91,28.07,240.8,56,20.47,277,100,12.47,9.5,3,2.57,2,"no"
"99","NC",52,"area_code_408","no","yes",31,122.2,88,20.77,139,100,11.82,141.9,141,6.39,5.7,10,1.54,3,"no"
"100","IA",74,"area_code_408","no","no",0,156.3,102,26.57,273.1,118,23.21,215.8,113,9.71,9,4,2.43,3,"no"
"101","AL",74,"area_code_408","no","yes",46,277.7,109,47.21,270,114,22.95,165.3,82,7.44,10.4,2,2.81,1,"no"
"102","HI",40,"area_code_415","yes","yes",21,147.4,117,25.06,262.8,110,22.34,202,97,9.09,10.9,5,2.94,0,"no"
"103","PA",83,"area_code_415","no","no",0,228.4,113,38.83,163.3,103,13.88,248,114,11.16,7.8,6,2.11,1,"no"
"104","RI",102,"area_code_510","no","no",0,184.6,133,31.38,166.8,94,14.18,225.2,105,10.13,6.8,8,1.84,1,"no"
"105","LA",92,"area_code_510","no","no",0,87.6,89,14.89,172.3,133,14.65,153.4,88,6.9,8,4,2.16,1,"no"
"106","DC",79,"area_code_408","no","yes",25,219,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4,"no"
"107","TN",110,"area_code_510","no","no",0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,"yes"
"108","AL",69,"area_code_408","no","yes",27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,"no"
"109","IN",56,"area_code_510","no","no",0,254.8,83,43.32,194,98,16.49,186.2,118,8.38,13.5,2,3.65,4,"no"
"110","UT",133,"area_code_510","no","no",0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4,3,"yes"
"111","FL",119,"area_code_415","no","yes",37,168.2,81,28.59,283.3,105,24.08,243.8,136,10.97,10.7,3,2.89,1,"no"
"112","VA",131,"area_code_415","no","no",0,143.1,114,24.33,138.1,119,11.74,199.4,100,8.97,8.9,3,2.4,3,"no"
"113","CT",60,"area_code_415","no","yes",20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1,"no"
"114","NC",118,"area_code_415","no","no",0,256.5,115,43.61,135.3,79,11.5,208.3,131,9.37,7.5,5,2.03,0,"no"
"115","PA",92,"area_code_510","no","no",0,185.9,111,31.6,216.8,93,18.43,231,58,10.4,8.5,2,2.3,1,"no"
"116","MI",52,"area_code_510","no","no",0,219,100,37.23,148.9,110,12.66,151.8,129,6.83,11.9,8,3.21,3,"no"
"117","NC",135,"area_code_510","no","yes",18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,"no"
"118","GA",107,"area_code_408","no","no",0,114.9,119,19.53,239.7,91,20.37,165.3,112,7.44,12.6,5,3.4,2,"no"
"119","PA",110,"area_code_510","no","no",0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2,"no"
"120","DE",109,"area_code_415","yes","yes",36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,"yes"
"121","NY",90,"area_code_415","no","no",0,180,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,"no"
"122","MA",117,"area_code_408","no","no",0,240.2,110,40.83,187.9,65,15.97,152.7,102,6.87,7,19,1.89,3,"no"
"123","MT",57,"area_code_415","no","no",0,234.4,120,39.85,155.3,120,13.2,130.5,103,5.87,9.4,4,2.54,1,"no"
"124","NE",115,"area_code_415","no","no",0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,"no"
"125","ME",73,"area_code_408","no","no",0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,"yes"
"126","NJ",127,"area_code_510","no","no",0,262.9,95,44.69,175.9,126,14.95,202.1,101,9.09,7.5,5,2.03,1,"no"
"127","DE",79,"area_code_415","no","no",0,66.7,124,11.34,204,91,17.34,254.7,110,11.46,15.1,2,4.08,1,"no"
"128","VT",33,"area_code_408","no","yes",33,221.4,110,37.64,276.1,86,23.47,222.9,102,10.03,10.1,4,2.73,1,"no"
"129","NC",110,"area_code_415","yes","no",0,135.1,99,22.97,227.3,123,19.32,176,110,7.92,13.2,4,3.56,1,"yes"
"130","CT",133,"area_code_408","no","no",0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,"no"
"131","NH",145,"area_code_415","no","no",0,170.5,101,28.99,206.5,112,17.55,194.3,106,8.74,9.8,1,2.65,3,"no"
"132","KY",47,"area_code_415","no","yes",40,158.3,90,26.91,213.2,71,18.12,123,132,5.54,14,2,3.78,2,"no"
"133","CO",53,"area_code_510","no","yes",24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,"no"
"134","NH",148,"area_code_510","no","no",0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1,"no"
"135","MA",72,"area_code_415","no","no",0,141.9,98,24.12,188.1,63,15.99,115.2,49,5.18,12,5,3.24,2,"no"
"136","LA",96,"area_code_510","no","no",0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,"yes"
"137","WV",113,"area_code_510","no","yes",28,264.4,93,44.95,222.8,79,18.94,213.7,88,9.62,10,4,2.7,1,"no"
"138","IL",55,"area_code_415","no","no",0,203.7,80,34.63,230.2,112,19.57,120.3,48,5.41,9.4,1,2.54,3,"no"
"139","MI",143,"area_code_415","no","no",0,191.6,53,32.57,104.6,104,8.89,195.8,125,8.81,10.7,9,2.89,3,"no"
"140","IN",60,"area_code_415","no","no",0,136.4,147,23.19,219.9,101,18.69,99.7,73,4.49,7,3,1.89,0,"no"
"141","CO",90,"area_code_415","no","yes",30,168.2,103,28.59,220.9,75,18.78,224.3,105,10.09,8.2,2,2.21,0,"no"
"142","DC",170,"area_code_408","no","yes",34,125.3,128,21.3,240.6,104,20.45,243.4,109,10.95,7,3,1.89,3,"no"
"143","TX",65,"area_code_415","no","no",0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,"no"
"144","IA",93,"area_code_408","no","no",0,198.1,93,33.68,236.1,95,20.07,127.3,121,5.73,12.6,4,3.4,2,"no"
"145","UT",117,"area_code_408","yes","yes",15,178.8,81,30.4,286.1,85,24.32,229.4,128,10.32,7.1,5,1.92,1,"no"
"146","AL",96,"area_code_415","no","yes",18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,"no"
"147","CT",101,"area_code_415","no","no",0,164.6,85,27.98,204.9,72,17.42,136.4,104,6.14,11.5,5,3.11,0,"no"
"148","NV",60,"area_code_415","no","no",0,197,130,33.49,219.2,105,18.63,102.8,113,4.63,12.6,4,3.4,1,"no"
"149","IA",157,"area_code_510","no","no",0,102.9,94,17.49,229.1,96,19.47,198.7,129,8.94,13.6,2,3.67,1,"no"
"150","UT",89,"area_code_408","no","no",0,144.2,74,24.51,164.7,119,14,279.2,121,12.56,12.1,7,3.27,4,"yes"
"151","GA",96,"area_code_408","no","yes",26,126.5,108,21.51,123.8,114,10.52,308.5,98,13.88,13.1,6,3.54,2,"no"
"152","PA",91,"area_code_415","no","no",0,139.8,109,23.77,157,91,13.35,218.6,122,9.84,13.6,4,3.67,3,"no"
"153","VA",104,"area_code_415","no","no",0,139.7,112,23.75,199.8,127,16.98,189.3,104,8.52,10.3,2,2.78,2,"no"
"154","SC",40,"area_code_415","no","no",0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,"yes"
"155","WV",161,"area_code_415","no","no",0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,"yes"
"156","KY",131,"area_code_408","no","yes",29,239.7,102,40.75,212.8,109,18.09,187.7,77,8.45,10.5,2,2.84,1,"no"
"157","KS",131,"area_code_510","no","no",0,195.6,93,33.25,245,100,20.83,104.7,97,4.71,13.2,6,3.56,2,"no"
"158","DC",79,"area_code_510","no","no",0,161.1,110,27.39,170.6,111,14.5,274.4,80,12.35,7.6,2,2.05,2,"no"
"159","AZ",130,"area_code_510","no","yes",22,173.9,90,29.56,234.8,86,19.96,121.8,79,5.48,8.4,5,2.27,1,"no"
"160","HI",161,"area_code_408","no","no",0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4,"no"
"161","MS",108,"area_code_415","no","yes",28,221.3,117,37.62,156,102,13.26,159.3,80,7.17,8.7,3,2.35,0,"no"
"162","WV",69,"area_code_415","yes","no",0,176.8,89,30.06,196,89,16.66,232.6,151,10.47,13.1,5,3.54,1,"yes"
"163","NC",80,"area_code_408","no","no",0,196,75,33.32,237.8,112,20.21,220.1,127,9.9,13.9,5,3.75,1,"no"
"164","ME",146,"area_code_415","no","no",0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,"no"
"165","NJ",143,"area_code_408","yes","no",0,186.9,98,31.77,196.5,110,16.7,215.3,104,9.69,12.3,3,3.32,4,"no"
"166","WA",114,"area_code_510","yes","no",0,115.6,93,19.65,163.2,78,13.87,251.3,104,11.31,9.7,1,2.62,2,"yes"
"167","WY",113,"area_code_408","no","no",0,158.4,107,26.93,142.2,104,12.09,174.7,108,7.86,14.9,2,4.02,0,"no"
"168","ME",29,"area_code_415","no","yes",38,149.4,93,25.4,189.8,96,16.13,127.4,71,5.73,6,3,1.62,1,"no"
"169","MS",57,"area_code_415","no","yes",36,244.5,94,41.57,161.2,113,13.7,184.3,105,8.29,9.7,3,2.62,1,"no"
"170","KY",78,"area_code_415","no","no",0,145.5,124,24.74,143.4,71,12.19,291.1,123,13.1,9.5,5,2.57,3,"no"
"171","GA",120,"area_code_510","no","no",0,147.7,101,25.11,144.1,71,12.25,237,115,10.67,11.1,5,3,0,"no"
"172","AL",97,"area_code_415","no","no",0,164.3,106,27.93,182.3,97,15.5,183.9,93,8.28,12.1,2,3.27,1,"no"
"173","IN",185,"area_code_415","no","no",0,89.4,77,15.2,288.9,128,24.56,162.9,93,7.33,10.4,2,2.81,3,"no"
"174","AK",144,"area_code_415","no","yes",38,276.3,149,46.97,252,112,21.42,132.5,85,5.96,8.7,3,2.35,1,"no"
"175","AR",97,"area_code_510","no","yes",32,172.7,79,29.36,217.4,101,18.48,260.7,88,11.73,11.7,5,3.16,1,"no"
"176","VA",130,"area_code_415","no","no",0,138.7,68,23.58,205.6,102,17.48,231.2,108,10.4,13.6,3,3.67,2,"no"
"177","DC",59,"area_code_415","no","yes",26,205.4,68,34.92,115,115,9.78,214.7,130,9.66,9.4,2,2.54,5,"no"
"178","ID",139,"area_code_408","no","no",0,187.4,86,31.86,169.3,116,14.39,153.4,88,6.9,11.7,3,3.16,1,"no"
"179","DE",12,"area_code_415","no","no",0,206.1,105,35.04,246.6,104,20.96,254.6,83,11.46,12.1,7,3.27,2,"no"
"180","MN",42,"area_code_408","no","yes",34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,"no"
"181","WY",63,"area_code_415","no","no",0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1,"no"
"182","NY",143,"area_code_415","no","no",0,168.6,85,28.66,176.3,89,14.99,282.3,69,12.7,13.3,10,3.59,1,"no"
"183","VA",150,"area_code_415","no","yes",29,235.8,91,40.09,202.8,84,17.24,246.3,81,11.08,11.9,4,3.21,1,"no"
"184","AR",156,"area_code_510","no","no",0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0,"no"
"185","TX",98,"area_code_408","no","no",0,158.5,90,26.95,254.4,67,21.62,178.4,104,8.03,14.8,5,4,2,"no"
"186","DC",17,"area_code_510","no","yes",30,280,101,47.6,258.9,85,22.01,230,130,10.35,10.3,2,2.78,3,"no"
"187","NY",101,"area_code_415","no","no",0,229.8,97,39.07,217.8,133,18.51,243.5,53,10.96,8.9,2,2.4,1,"no"
"188","OH",163,"area_code_415","no","no",0,241.6,102,41.07,138.9,100,11.81,148.8,129,6.7,9.8,6,2.65,1,"no"
"189","LA",140,"area_code_415","no","yes",27,176,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,"no"
"190","OH",176,"area_code_415","no","yes",31,167,93,28.39,174.1,128,14.8,155,124,6.98,10.4,4,2.81,3,"no"
"191","UT",102,"area_code_510","no","yes",45,129.2,142,21.96,239.4,114,20.35,223.4,66,10.05,8.7,4,2.35,0,"no"
"192","VA",71,"area_code_415","no","yes",49,174,122,29.58,168.6,85,14.33,132.1,120,5.94,7.8,4,2.11,1,"no"
"193","TX",104,"area_code_415","no","no",0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,"yes"
"194","TN",96,"area_code_415","no","no",0,264.6,117,44.98,264.1,121,22.45,77.1,89,3.47,8.1,4,2.19,0,"no"
"195","PA",90,"area_code_408","no","no",0,160.9,97,27.35,136.4,46,11.59,209,121,9.4,9.1,4,2.46,2,"no"
"196","CT",106,"area_code_510","no","yes",36,124.8,93,21.22,241.7,83,20.54,219,110,9.86,11.3,3,3.05,1,"no"
"197","DE",148,"area_code_510","no","no",0,230.6,92,39.2,185.6,97,15.78,183.2,79,8.24,6.2,4,1.67,2,"no"
"198","IN",66,"area_code_408","no","no",0,241.7,112,41.09,251.6,78,21.39,105,82,4.72,11.3,2,3.05,2,"no"
"199","UT",95,"area_code_408","no","yes",35,229.1,143,38.95,148.2,104,12.6,248.4,110,11.18,3.9,3,1.05,0,"no"
"200","OK",127,"area_code_408","no","no",0,212.9,92,36.19,260.1,124,22.11,177.6,85,7.99,8.6,2,2.32,2,"no"
"201","NH",79,"area_code_408","no","yes",30,124.8,99,21.22,207.6,142,17.65,175,95,7.88,4.6,3,1.24,1,"no"
"202","MO",83,"area_code_510","no","no",0,133.9,82,22.76,169.6,105,14.42,222.8,114,10.03,11.7,4,3.16,0,"no"
"203","NV",83,"area_code_510","no","yes",31,129.8,87,22.07,183.4,110,15.59,169.4,40,7.62,14.3,6,3.86,1,"no"
"204","SC",136,"area_code_415","no","no",0,88.5,112,15.05,279.5,98,23.76,278,69,12.51,7.5,12,2.03,1,"no"
"205","HI",17,"area_code_408","no","no",0,168.5,102,28.65,297.2,130,25.26,244.7,117,11.01,8.8,6,2.38,3,"no"
